How old are you?;What is your gender?;What is the highest degree or level of education you have completed?;What is your employment status?;Have you adopted a Fintech bank (i.e., opened and used an account)?;Which banks do you currently actively use?;What were the main reasons you adopted a Fintech bank? (Select up to 2 options);How frequently do you use your Fintech bank?;Which Fintech services do you actively use? (Select all that apply);In a few words can you explain what you like the most about your Fintech bank?;If you have not adopted a Fintech, what is the main reason?;Which of the following factors influence your hesitation to adopt Fintech banking serivces?;On a scale from 1 to 5, how much do you trust Fintech banks?;On a scale from 1 to 5, how much do you trust Traditional banks?;What changes would make Fintech banks more attractive to you?;If you are considering adopting a Fintech bank, what would be the most important deciding factor for you?;Thank you!
45-60;Female;Higher professional education or technical HBO diploma;Employed Full time;Yes;test;No foreign transaction fees;Occasionally (A few times a month);Everyday transactions (e.g. payments, transfers);test;;;5 = Fully trust;5 = Fully trust;test;;
29-44;Male;Master's degree;Employed Full time;Yes;revolut and ING;Lower fees, Better mobile experience, Better investment options, Cashbacks & rewards, No foreign transaction fees;Rarely (Few times a year);Savings & Investments, International transfers;mobile interface ;;;4 = Somewhat trust;5 = Fully trust;;;
61-70;Male;Master's degree;Retired;No;Nvt;;;;;Nvt;Lack of physical branches;1 = No trust at all;4 = Somewhat trust;Nvt;Nvt;
29-44;Female;Bachelor's degree;Employed Full time;Yes;Revolut, ING;Lower fees, Better mobile experience, other Online shopping when there is no ideal payment option;Regularly (Weekly);Everyday transactions (e.g. payments, transfers), Savings & Investments, International transfers;There is no monthly fee for the basic account but I can still use almost all the features in the app.;;;4 = Somewhat trust;4 = Somewhat trust;"More feeling of security, for example if they had headquarters in the countries they serve.

More loyalty related benefits.";;
18-28;Male;Master's degree;Employed Full time;Yes;Bunq, Trade Republic and Revolut;Lower fees, Better mobile experience, No foreign transaction fees, Cashbacks & rewards;Occasionally (A few times a month);Savings & Investments, International transfers;Higher rates, quick onboarding, great and simple CX;;;4 = Somewhat trust;5 = Fully trust;;;
29-44;Male;Master's degree;Employed Full time;Yes;Revolut, bunq;Lower fees, Better mobile experience, No foreign transaction fees;Daily;Everyday transactions (e.g. payments, transfers), Savings & Investments, International transfers;Savings rate and foreign exchange rate;;;3 = Neutral;5 = Fully trust;Loyalty and subscription models;;
29-44;Male;Bachelor's degree;Employed Full time;Yes;Test;Cashbacks & rewards;Rarely (Few times a year);Everyday transactions (e.g. payments, transfers);Test;;;4 = Somewhat trust;4 = Somewhat trust;Test;;
29-44;Male;Bachelor's degree;Retired;No;Test;;;;;Test;Lack of physical branches;4 = Somewhat trust;4 = Somewhat trust;Test;Rest;
29-44;Non-binary;Bachelor's degree;Employed Full time;Yes;Test;Better investment options;Occasionally (A few times a month);Savings & Investments, Loans & Credit;Test;;;3 = Neutral;2 = Low trust;Test;;
18-28;Male;Master's degree;Employed Full time;Yes;ING, Revolut;Lower fees, Better mobile experience;Daily;Everyday transactions (e.g. payments, transfers), Savings & Investments, AI-driven budgeting tools, International transfers;The app - smooth flow, no fees;;;2 = Low trust;4 = Somewhat trust;Better customer service, clear terms and conditions;;
71+;Female;High School diploma;Retired;No;ING;;;;;Niet nodig;other other;3 = Neutral;;Geen interesse in Finse het banken;;
61-70;Male;High School diploma;Employed Part time;Yes;Cb;Other Other;Occasionally (A few times a month);Savings & Investments;Rente;;;5 = Fully trust;5 = Fully trust;Geen;;
61-70;Male;Higher professional education or technical HBO diploma;Employed Part time;Yes;Ing;Faster transactions;Daily;Everyday transactions (e.g. payments, transfers);Simpel en direct;;;5 = Fully trust;;Geen;;
